Actividad,C1,C2,Impuesto,Año,Valor
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2005,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2005,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2005,33837.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2005,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2005,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2005,3007760.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2005,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2005,10615016.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2005,673406.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2005,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2005,2401226.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2005,3295135.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2006,2668946.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2006,19656.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2006,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2006,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2006,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2006,8569224.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2006,3241161.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2006,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2006,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2006,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2006,791208.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2006,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2006,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2006,536233.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2006,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2006,10887932.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2006,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2006,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2006,9842101.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2006,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2006,12577012.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2006,3690888.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2007,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2007,3962496.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2007,18421.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2007,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2007,2989522.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2007,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2007,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2007,4244505.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2007,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2007,1232681.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2007,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2007,13097249.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2007,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2007,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2007,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2007,14519613.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2007,10222033.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2007,9091407.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2007,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2007,863928.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2007,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2007,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2008,36206.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2008,16525925.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2008,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2008,3320867.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2008,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2008,3199639.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2008,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2008,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2008,4428604.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2008,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2008,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2008,4534565.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2008,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2008,14322836.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2008,9713835.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2008,809376.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2008,10140964.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2008,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2008,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2008,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2008,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2008,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2009,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2009,3121278.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2009,646812.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2009,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2009,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2009,17183499.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2009,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2009,4133529.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2009,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2009,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2009,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2009,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2009,28234.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2009,8594142.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2009,4657457.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2009,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2009,13510157.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2009,14797056.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2009,2238618.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2009,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2009,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2009,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2010,16577995.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2010,2235367.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2010,9425350.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2010,353912.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2010,9703216.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2010,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2010,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2010,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2010,3224922.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2010,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2010,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2010,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2010,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2010,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2010,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2010,18703979.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2010,4868210.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2010,5081710.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2010,24127.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2010,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2010,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2010,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2011,5069606.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2011,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2011,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2011,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2011,56491.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2011,12536626.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2011,4447798.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2011,22300779.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2011,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2011,12561092.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2011,19107012.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2011,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2011,4390493.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2011,5991760.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2011,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2011,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2011,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2011,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2011,119242.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2011,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2011,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2011,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2012,6565772.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2012,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2012,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2012,4391723.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2012,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2012,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2012,23859875.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2012,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2012,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2012,5351294.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2012,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2012,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2012,3960337.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2012,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2012,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2012,38951.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2012,55395.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2012,22000009.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2012,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2012,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2012,19877817.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2012,13043703.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2013,21243422.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2013,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2013,25470591.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2013,4111876.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2013,5935091.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2013,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2013,21039924.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2013,57247.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2013,12080300.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2013,4240323.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2013,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2013,4466767.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2013,2736545.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2013,1288442.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2013,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2013,130347.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2013,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2013,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2013,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2013,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2013,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2013,2967366.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2014,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2014,11990124.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2014,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2014,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2014,6464683.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2014,72303.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2014,24338466.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2014,27465013.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2014,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2014,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2014,13609157.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2014,2980885.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2014,4399951.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2014,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2014,4361286.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2014,27436.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2014,3976562.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2014,1757643.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2014,6923239.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2014,5994962.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2014,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2014,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2015,5512168.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2015,1824289.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2015,4682409.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2015,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2015,3418957.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2015,104085.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2015,24901947.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2015,15446104.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2015,36532.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2015,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2015,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2015,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2015,10702326.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2015,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2015,7068880.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2015,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2015,5074220.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2015,7470241.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2015,30708382.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2015,6775377.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2015,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2015,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2016,10882846.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2016,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2016,1843916.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2016,4962975.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2016,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2016,7553508.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2016,5065927.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2016,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2016,14011.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2016,4583842.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2016,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2016,3747950.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2016,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2016,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2016,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2016,105821.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2016,32640747.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2016,7067991.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2016,7568786.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2016,25723556.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2016,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2016,14992159.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2017,17151552.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2017,1104378.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2017,4262914.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2017,15077560.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2017,476862.0
